fullname,division,W,L,points_scored,points_allowed,points_rank,playoff_rank
Jumpin' Jaheims,Grits,2,0,278.68,213.66,1,1
The Sophomores TSoph,Hot Dish,2,0,220.51999999999998,201.39999999999998,7,2
KC Gophers,Hot Dish,1,1,252.7,251.32,2,3
Captain Clairvoyant,Grits,1,1,247,273.88,3,4
Athens Team Sasquatch,Grits,1,1,245.12,240.68,4,5
Middle Earth Hangry Hobbits,Hot Dish,1,1,233.96,201.54000000000002,6,6
Pigskin on  the Gridiron,Grits,1,1,213.5,217.39000000000001,8,7
Georgia Peanuts,Hot Dish,1,1,170.9,215.43,9,8
Southern Sharks,Hot Dish,0,2,242.56,257.88,5,9
The G.O.A.T.,Grits,0,2,159.1,190.86,10,10
