RK,TIERS,PLAYER NAME,TEAM,POS,pos,pos_rank,BYE WEEK,ECR VS. ADP
1,1,Jonathan Taylor,IND,RB1,RB,1,14,0
2,1,Christian McCaffrey,CAR,RB2,RB,2,13,0
3,1,Austin Ekeler,LAC,RB3,RB,3,8,0
4,2,Justin Jefferson,MIN,WR1,WR,1,7,2
5,2,Dalvin Cook,MIN,RB4,RB,4,7,2
6,2,Cooper Kupp,LAR,WR2,WR,2,7,-1
7,2,Derrick Henry,TEN,RB5,RB,5,6,-3
8,2,Najee Harris,PIT,RB6,RB,6,9,0
9,2,Ja'Marr Chase,CIN,WR3,WR,3,10,0
10,2,Joe Mixon,CIN,RB7,RB,7,10,0
11,3,Davante Adams,LV,WR4,WR,4,6,0
12,3,D'Andre Swift,DET,RB8,RB,8,6,1
13,3,Stefon Diggs,BUF,WR5,WR,5,7,-1
14,3,Alvin Kamara,NO,RB9,RB,9,14,3
15,3,Travis Kelce,KC,TE1,TE,1,8,-1
16,3,CeeDee Lamb,DAL,WR6,WR,6,9,2
17,4,Saquon Barkley,NYG,RB10,RB,10,9,2
18,4,Nick Chubb,CLE,RB11,RB,11,9,-3
19,4,Aaron Jones,GB,RB12,RB,12,14,-3
20,4,Javonte Williams,DEN,RB13,RB,13,9,0
21,4,Leonard Fournette,TB,RB14,RB,14,11,3
22,4,Deebo Samuel,SF,WR7,WR,7,9,-1
23,4,Mark Andrews,BAL,TE2,TE,2,10,2
24,4,Mike Evans,TB,WR8,WR,8,11,2
25,4,Tyreek Hill,MIA,WR9,WR,9,11,-2
26,4,Keenan Allen,LAC,WR10,WR,10,8,2
27,5,A.J. Brown,PHI,WR11,WR,11,7,2
28,5,James Conner,ARI,RB15,RB,15,13,2
29,5,Ezekiel Elliott,DAL,RB16,RB,16,9,-2
30,5,Michael Pittman Jr.,IND,WR12,WR,12,14,3
31,5,Tee Higgins,CIN,WR13,WR,13,10,0
32,5,Kyle Pitts,ATL,TE3,TE,3,14,0
33,5,DJ Moore,CAR,WR14,WR,14,13,5
34,5,Josh Allen,BUF,QB1,QB,1,7,-12
35,5,David Montgomery,CHI,RB17,RB,17,14,0
36,5,Travis Etienne Jr.,JAC,RB18,RB,18,11,6
37,5,Breece Hall,NYJ,RB19,RB,19,10,0
38,5,Courtland Sutton,DEN,WR15,WR,15,9,13
39,5,Mike Williams,LAC,WR16,WR,16,8,6
40,6,Justin Herbert,LAC,QB2,QB,2,8,-4
41,6,Terry McLaurin,WAS,WR17,WR,17,14,0
42,6,Cam Akers,LAR,RB20,RB,20,7,-3
43,6,Jaylen Waddle,MIA,WR18,WR,18,11,0
44,6,Brandin Cooks,HOU,WR19,WR,19,6,14
45,6,Diontae Johnson,PIT,WR20,WR,20,9,-1
46,6,AJ Dillon,GB,RB21,RB,21,14,6
47,6,Allen Robinson II,LAR,WR21,WR,21,7,6
48,6,Josh Jacobs,LV,RB22,RB,22,6,-2
49,6,Patrick Mahomes II,KC,QB3,QB,3,8,-15
50,6,DK Metcalf,SEA,WR22,WR,22,11,0
51,6,Elijah Mitchell,SF,RB23,RB,23,9,-2
52,6,George Kittle,SF,TE4,TE,4,9,-12
53,6,Darren Waller,LV,TE5,TE,5,6,-6
54,6,Lamar Jackson,BAL,QB4,QB,4,10,-6
55,6,J.K. Dobbins,BAL,RB24,RB,24,10,4
56,7,Darnell Mooney,CHI,WR23,WR,23,14,16
57,7,Marquise Brown,ARI,WR24,WR,24,13,5
58,7,Antonio Gibson,WAS,RB25,RB,25,14,2
59,7,Kyler Murray,ARI,QB5,QB,5,13,-3
60,7,Chase Edmonds,MIA,RB26,RB,26,11,25
61,7,Dalton Schultz,DAL,TE6,TE,6,9,-4
62,7,Jalen Hurts,PHI,QB6,QB,6,7,1
63,7,Clyde Edwards-Helaire,KC,RB27,RB,27,8,1
64,7,JuJu Smith-Schuster,KC,WR25,WR,25,8,5
65,7,Jerry Jeudy,DEN,WR26,WR,26,9,-11
66,7,Damien Harris,NE,RB28,RB,28,10,-1
67,7,Gabriel Davis,BUF,WR27,WR,27,7,-1
68,7,Miles Sanders,PHI,RB29,RB,29,7,6
69,7,Amon-Ra St. Brown,DET,WR28,WR,28,6,-8
70,7,Michael Thomas,NO,WR29,WR,29,14,0
71,7,Dameon Pierce,HOU,RB30,RB,30,6,33
72,7,Rashaad Penny,SEA,RB31,RB,31,11,14
73,7,Elijah Moore,NYJ,WR30,WR,30,10,10
74,7,Joe Burrow,CIN,QB7,QB,7,10,-19
75,7,Rashod Bateman,BAL,WR31,WR,31,10,6
76,7,Kareem Hunt,CLE,RB32,RB,32,9,8
77,7,Amari Cooper,CLE,WR32,WR,32,9,-10
78,7,Tony Pollard,DAL,RB33,RB,33,9,9
79,7,Dallas Goedert,PHI,TE7,TE,7,7,-4
80,8,T.J. Hockenson,DET,TE8,TE,8,6,-12
81,8,Tom Brady,TB,QB8,QB,8,11,-4
82,8,Rhamondre Stevenson,NE,RB34,RB,34,10,10
83,8,Chris Godwin,TB,WR33,WR,33,11,-12
84,8,Adam Thielen,MIN,WR34,WR,34,7,-11
85,8,Russell Wilson,DEN,QB9,QB,9,9,-9
86,8,Devin Singletary,BUF,RB35,RB,35,7,-8
87,8,Cordarrelle Patterson,ATL,RB36,RB,36,14,-7
88,8,Melvin Gordon III,DEN,RB37,RB,37,9,10
89,8,Dak Prescott,DAL,QB10,QB,10,9,-10
90,8,DeVonta Smith,PHI,WR35,WR,35,7,-1
91,8,Allen Lazard,GB,WR36,WR,36,14,11
92,8,Brandon Aiyuk,SF,WR37,WR,37,9,3
93,8,Tyler Lockett,SEA,WR38,WR,38,11,6
94,8,Hunter Renfrow,LV,WR39,WR,39,6,-12
95,8,Christian Kirk,JAC,WR40,WR,40,11,8
96,8,Dawson Knox,BUF,TE9,TE,9,7,-8
97,8,Zach Ertz,ARI,TE10,TE,10,13,-7
98,8,Ken Walker III,SEA,RB38,RB,38,11,-4
99,8,Aaron Rodgers,GB,QB11,QB,11,14,-8
100,8,Drake London,ATL,WR41,WR,41,14,0
101,9,Robert Woods,TEN,WR42,WR,42,6,6
102,9,Trey Lance,SF,QB12,QB,12,9,-1
103,9,Matthew Stafford,LAR,QB13,QB,13,7,-7
104,9,James Cook,BUF,RB39,RB,39,7,2
105,9,Pat Freiermuth,PIT,TE11,TE,11,9,13
106,9,DeAndre Hopkins,ARI,WR43,WR,43,13,-13
107,9,Chris Olave,NO,WR44,WR,44,14,2
108,9,Michael Carter,NYJ,RB40,RB,40,10,3
109,9,Darrell Henderson Jr.,LAR,RB41,RB,41,7,10
110,9,Cole Kmet,CHI,TE12,TE,12,14,15
111,9,Kirk Cousins,MIN,QB14,QB,14,7,4
112,9,Derek Carr,LV,QB15,QB,15,6,-2
113,9,Nyheim Hines,IND,RB42,RB,42,14,14
114,9,Kadarius Toney,NYG,WR45,WR,45,9,0
115,9,James Robinson,JAC,RB43,RB,43,11,-2
116,9,Russell Gage,TB,WR46,WR,46,11,10
117,9,Jakobi Meyers,NE,WR47,WR,47,10,44
118,9,Tyler Boyd,CIN,WR48,WR,48,10,18
119,9,Kenneth Gainwell,PHI,RB44,RB,44,7,28
120,9,Skyy Moore,KC,WR49,WR,49,8,22
121,9,Tyler Allgeier,ATL,RB45,RB,45,14,33
122,9,Alexander Mattison,MIN,RB46,RB,46,7,-6
123,9,Chase Claypool,PIT,WR50,WR,50,9,-11
124,9,Treylon Burks,TEN,WR51,WR,51,6,-3
125,9,Justin Fields,CHI,QB16,QB,16,14,23
126,10,Hunter Henry,NE,TE13,TE,13,10,55
127,10,Garrett Wilson,NYJ,WR52,WR,52,10,-5
128,10,J.D. McKissic,WAS,RB47,RB,47,14,38
129,10,Tua Tagovailoa,MIA,QB17,QB,17,11,11
130,10,DeVante Parker,NE,WR53,WR,53,10,21
131,10,Mike Gesicki,MIA,TE14,TE,14,11,-14
132,10,Raheem Mostert,MIA,RB48,RB,48,11,23
133,10,Irv Smith Jr.,MIN,TE15,TE,15,7,39
134,10,Jamaal Williams,DET,RB49,RB,49,6,28
135,10,Marquez Valdes-Scantling,KC,WR54,WR,54,8,4
136,10,Khalil Herbert,CHI,RB50,RB,50,14,20
137,10,Albert Okwuegbunam,DEN,TE16,TE,16,9,-3
138,10,Rachaad White,TB,RB51,RB,51,11,6
139,10,George Pickens,PIT,WR55,WR,55,9,-6
140,10,Trevor Lawrence,JAC,QB18,QB,18,11,25
141,10,Jarvis Landry,NO,WR56,WR,56,14,0
142,10,Noah Fant,SEA,TE17,TE,17,11,54
143,10,Tyler Higbee,LAR,TE18,TE,18,7,66
144,10,Julio Jones,TB,WR57,WR,57,11,-1
145,10,Rondale Moore,ARI,WR58,WR,58,13,5
146,10,Michael Gallup,DAL,WR59,WR,59,9,30
147,10,Gerald Everett,LAC,TE19,TE,19,8,51
148,10,Matt Ryan,IND,QB19,QB,19,14,30
149,10,David Njoku,CLE,TE20,TE,20,9,18
150,10,Buffalo Bills,BUF,DST1,DST,1,7,-53
151,10,DJ Chark Jr.,DET,WR60,WR,60,6,7
152,10,Nico Collins,HOU,WR61,WR,61,6,55
153,10,Tampa Bay Buccaneers,TB,DST2,DST,2,11,-45
154,10,Kenny Golladay,NYG,WR62,WR,62,9,-1
155,10,Austin Hooper,TEN,TE21,TE,21,6,65
156,10,Jameis Winston,NO,QB20,QB,20,14,27
157,10,San Francisco 49ers,SF,DST3,DST,3,9,-28
158,11,Evan Engram,JAC,TE22,TE,22,11,33
159,11,Robert Tonyan,GB,TE23,TE,23,14,30
160,11,Jahan Dotson,WAS,WR63,WR,63,14,-3
161,11,Zamir White,LV,RB52,RB,52,6,26
162,11,Joshua Palmer,LAC,WR64,WR,64,8,49
163,11,Mecole Hardman,KC,WR65,WR,65,8,-3
164,11,Ryan Tannehill,TEN,QB21,QB,21,6,7
165,11,Isiah Pacheco,KC,RB53,RB,53,8,-16
166,11,Jalen Tolbert,DAL,WR66,WR,66,9,3
167,11,Los Angeles Rams,LAR,DST4,DST,4,7,-37
168,11,Mac Jones,NE,QB22,QB,22,10,2
169,11,Isaiah Spiller,LAC,RB54,RB,54,8,-37
170,11,Jared Goff,DET,QB23,QB,23,6,46
171,11,Denver Broncos,DEN,DST5,DST,5,9,-19
172,11,New Orleans Saints,NO,DST6,DST,6,14,-35
173,11,Robbie Anderson,CAR,WR67,WR,67,13,48
174,11,D'Onta Foreman,CAR,RB55,RB,55,13,14
175,11,Tyler Bass,BUF,K1,K,1,7,-30
176,11,Corey Davis,NYJ,WR68,WR,68,10,46
177,11,Justin Tucker,BAL,K2,K,2,10,-72
178,11,Darrel Williams,ARI,RB56,RB,56,13,6
179,11,Brian Robinson Jr.,WAS,RB57,RB,57,14,-51
180,11,K.J. Osborn,MIN,WR69,WR,69,7,35
181,11,Mark Ingram II,NO,RB58,RB,58,14,-6
182,11,Daniel Jones,NYG,QB24,QB,24,9,60
183,11,Marvin Jones Jr.,JAC,WR70,WR,70,11,36
184,11,Christian Watson,GB,WR71,WR,71,14,-16
185,11,Hayden Hurst,CIN,TE24,TE,24,10,28
186,11,Jameson Williams,DET,WR72,WR,72,6,-12
187,11,Brevin Jordan,HOU,TE25,TE,25,6,92
188,11,Matt Gay,LAR,K3,K,3,7,-42
189,11,Wan'Dale Robinson,NYG,WR73,WR,73,9,39
190,11,Los Angeles Chargers,LAC,DST7,DST,7,8,10
191,11,Indianapolis Colts,IND,DST8,DST,8,14,-53
192,11,Van Jefferson,LAR,WR74,WR,74,7,22
