Round,Pick,Player,Team,name,fullname,totpoints
1,1,"Christian McCaffrey Car, RB",Pigskin on the Gridiron,Christian McCaffrey,Pigskin on  the Gridiron,54.9
1,2,"Patrick Mahomes KC, QB",First Timers The FTs,Patrick Mahomes,First Timers The FTs,237.56
1,3,"Saquon Barkley NYG, RB",Jumpin' Jaheims,Saquon Barkley,NA,NA
1,4,"Ezekiel Elliott Dal, RB",The G.O.A.T.,Ezekiel Elliott,The G.O.A.T.,103.60000000000001
1,5,"Travis Kelce KC, TE",KC Gophers,Travis Kelce,KC Gophers,186.46
1,6,"Michael Thomas NO, WR",Middle Earth Hangry Hobbits,Michael Thomas,Middle Earth Hangry Hobbits,60.7
1,7,"Derrick Henry Ten, RB",Captain Clairvoyant,Derrick Henry,Captain Clairvoyant,205
1,8,"Rodrigo Blankenship Ind, K",Southern Sharks,Rodrigo Blankenship,Southern Sharks,85
1,9,"Dalvin Cook Min, RB",Georgia Peanuts,Dalvin Cook,Georgia Peanuts,201.2
1,10,"Lamar Jackson Bal, QB",Athens Team Sasquatch,Lamar Jackson,Athens Team Sasquatch,199.14000000000001
2,1,"Alvin Kamara NO, RB",Athens Team Sasquatch,Alvin Kamara,Athens Team Sasquatch,224.7
2,2,"Davante Adams GB, WR",Georgia Peanuts,Davante Adams,Georgia Peanuts,247
2,3,"Clyde Edwards-Helaire KC, RB",Southern Sharks,Clyde Edwards-Helaire,Southern Sharks,93.4
2,4,"Nick Chubb Cle, RB",Captain Clairvoyant,Nick Chubb,Captain Clairvoyant,136.4
2,5,"Austin Ekeler LAC, RB",Middle Earth Hangry Hobbits,Austin Ekeler,Middle Earth Hangry Hobbits,77.4
2,6,"Tyreek Hill KC, WR",KC Gophers,Tyreek Hill,KC Gophers,213
2,7,"Josh Jacobs LV, RB",The G.O.A.T.,Josh Jacobs,The G.O.A.T.,102.9
2,8,"Kenyan Drake Ari, RB",Jumpin' Jaheims,Kenyan Drake,Jumpin' Jaheims,130
2,9,"Aaron Jones GB, RB",First Timers The FTs,Aaron Jones,First Timers The FTs,144.8
2,10,"Miles Sanders Phi, RB",Pigskin on the Gridiron,Miles Sanders,Pigskin on  the Gridiron,102.7
3,1,"Julio Jones Atl, WR",Pigskin on the Gridiron,Julio Jones,Pigskin on  the Gridiron,96.2
3,2,"Adam Thielen Min, WR",First Timers The FTs,Adam Thielen,First Timers The FTs,115.4
3,3,"Mike Evans TB, WR",Jumpin' Jaheims,Mike Evans,Jumpin' Jaheims,139.3
3,4,"Chris Godwin TB, WR",The G.O.A.T.,Chris Godwin,The G.O.A.T.,93.3
3,5,"Joe Mixon Cin, RB",KC Gophers,Joe Mixon,KC Gophers,24.5
3,6,"George Kittle SF, TE",Middle Earth Hangry Hobbits,George Kittle,Middle Earth Hangry Hobbits,45.5
3,7,"DeAndre Hopkins Ari, WR",Captain Clairvoyant,DeAndre Hopkins,Captain Clairvoyant,129.8
3,8,"Kenny Golladay Det, WR",Southern Sharks,Kenny Golladay,Southern Sharks,26.9
3,9,"Allen Robinson II Chi, WR",Georgia Peanuts,Allen Robinson II,Georgia Peanuts,130.20000000000002
3,10,"Calvin Ridley Atl, WR",Athens Team Sasquatch,Calvin Ridley,Athens Team Sasquatch,141.4
4,1,"Mark Andrews Bal, TE",Athens Team Sasquatch,Mark Andrews,Athens Team Sasquatch,63.50000000000001
4,2,"James Conner Pit, RB",Georgia Peanuts,James Conner,Georgia Peanuts,72.5
