add_date,name,points,slot,bench,rowid,abbrev,teamId,location,nickname,fullname,division
2020-09-08,Dalvin Cook,18.000000000000004,2,0,1,PEA,1,Georgia,Peanuts,Georgia Peanuts,Hot Dish
2020-09-08,Davante Adams,22,4,0,1,PEA,1,Georgia,Peanuts,Georgia Peanuts,Hot Dish
2020-09-08,Allen Robinson II,22.8,4,0,1,PEA,1,Georgia,Peanuts,Georgia Peanuts,Hot Dish
2020-09-08,Darren Waller,11,6,0,1,PEA,1,Georgia,Peanuts,Georgia Peanuts,Hot Dish
2020-09-16,James Robinson,10.299999999999999,2,0,1,PEA,1,Georgia,Peanuts,Georgia Peanuts,Hot Dish
2020-09-30,Tee Higgins,7.4,20,1,1,PEA,1,Georgia,Peanuts,Georgia Peanuts,Hot Dish
2020-10-15,Younghoe Koo,6,17,0,1,PEA,1,Georgia,Peanuts,Georgia Peanuts,Hot Dish
2020-10-22,Justin Herbert,15.72,0,0,1,PEA,1,Georgia,Peanuts,Georgia Peanuts,Hot Dish
2020-10-28,Justin Jefferson,7.9,23,1,1,PEA,1,Georgia,Peanuts,Georgia Peanuts,Hot Dish
2020-11-18,Rams D/ST,20,16,0,1,PEA,1,Georgia,Peanuts,Georgia Peanuts,Hot Dish
2020-11-18,Damien Harris,5.5,20,1,1,PEA,1,Georgia,Peanuts,Georgia Peanuts,Hot Dish
2020-11-19,Taysom Hill,18.94,20,1,1,PEA,1,Georgia,Peanuts,Georgia Peanuts,Hot Dish
2020-12-03,James Conner,1.8,20,1,1,PEA,1,Georgia,Peanuts,Georgia Peanuts,Hot Dish
2020-12-04,Allen Lazard,2.9000000000000004,20,1,1,PEA,1,Georgia,Peanuts,Georgia Peanuts,Hot Dish
2020-12-10,Jalen Hurts,19.28,20,1,1,PEA,1,Georgia,Peanuts,Georgia Peanuts,Hot Dish
2020-12-10,Cam Akers,20.400000000000002,20,1,1,PEA,1,Georgia,Peanuts,Georgia Peanuts,Hot Dish
2020-09-08,Michael Thomas,12.4,4,0,2,HH,2,Middle Earth,Hangry Hobbits,Middle Earth Hangry Hobbits,Hot Dish
2020-09-08,Austin Ekeler,19.1,2,0,2,HH,2,Middle Earth,Hangry Hobbits,Middle Earth Hangry Hobbits,Hot Dish
2020-09-08,George Kittle,0,21,1,2,HH,2,Middle Earth,Hangry Hobbits,Middle Earth Hangry Hobbits,Hot Dish
2020-09-08,DJ Moore,0,20,1,2,HH,2,Middle Earth,Hangry Hobbits,Middle Earth Hangry Hobbits,Hot Dish
2020-09-08,Kareem Hunt,26,2,0,2,HH,2,Middle Earth,Hangry Hobbits,Middle Earth Hangry Hobbits,Hot Dish
2020-09-08,Deshaun Watson,16.560000000000002,0,0,2,HH,2,Middle Earth,Hangry Hobbits,Middle Earth Hangry Hobbits,Hot Dish
2020-09-08,Keenan Allen,15.7,4,0,2,HH,2,Middle Earth,Hangry Hobbits,Middle Earth Hangry Hobbits,Hot Dish
2020-09-08,Antonio Gibson,0,20,1,2,HH,2,Middle Earth,Hangry Hobbits,Middle Earth Hangry Hobbits,Hot Dish
2020-09-08,Marquise Brown,13,20,1,2,HH,2,Middle Earth,Hangry Hobbits,Middle Earth Hangry Hobbits,Hot Dish
2020-09-08,Phillip Lindsay,4.1000000000000005,23,1,2,HH,2,Middle Earth,Hangry Hobbits,Middle Earth Hangry Hobbits,Hot Dish
2020-09-08,Ryan Tannehill,16.48,20,1,2,HH,2,Middle Earth,Hangry Hobbits,Middle Earth Hangry Hobbits,Hot Dish
2020-09-08,Ravens D/ST,-4,20,1,2,HH,2,Middle Earth,Hangry Hobbits,Middle Earth Hangry Hobbits,Hot Dish
2020-09-08,Henry Ruggs III,4.5,20,1,2,HH,2,Middle Earth,Hangry Hobbits,Middle Earth Hangry Hobbits,Hot Dish
2020-09-19,Jonnu Smith,3.3,20,1,2,HH,2,Middle Earth,Hangry Hobbits,Middle Earth Hangry Hobbits,Hot Dish
2020-10-22,Wil Lutz,1,17,0,2,HH,2,Middle Earth,Hangry Hobbits,Middle Earth Hangry Hobbits,Hot Dish
2020-10-28,Saints D/ST,-1,16,0,2,HH,2,Middle Earth,Hangry Hobbits,Middle Earth Hangry Hobbits,Hot Dish
2020-12-06,Noah Fant,0,6,0,2,HH,2,Middle Earth,Hangry Hobbits,Middle Earth Hangry Hobbits,Hot Dish
2020-09-08,Patrick Mahomes,18.62,0,0,3,TFT,3,First Timers,The FTs,First Timers The FTs,Hot Dish
2020-09-08,Aaron Jones,8.5,23,1,3,TFT,3,First Timers,The FTs,First Timers The FTs,Hot Dish
2020-09-08,David Johnson,0,20,1,3,TFT,3,First Timers,The FTs,First Timers The FTs,Hot Dish
2020-09-08,Tyler Higbee,4.4,20,1,3,TFT,3,First Timers,The FTs,First Timers The FTs,Hot Dish
2020-09-08,Stefon Diggs,24.1,4,0,3,TFT,3,First Timers,The FTs,First Timers The FTs,Hot Dish
