awayteam,awaypoints,hometeam,homepoints,away_result,home_result,week
1,119.4,8,138.55,L,W,1
2,81.02,6,100.86,L,W,1
12,90.88,10,117.16,L,W,1
5,139.2,3,114.24,W,L,1
4,86.94,7,129.76,L,W,1
12,109.1,2,133.8,L,W,2
8,115.26,5,114.44,W,L,2
1,102.02,4,129.8,L,W,2
6,107.64,3,171.28,L,W,2
10,97.08,7,137.6,L,W,2
4,130.1,5,132.15,L,W,3
3,127.8,2,107.54,W,L,3
7,150.32,12,121.74,W,L,3
6,111.08,8,97.48,W,L,3
10,93.9,1,125.7,L,W,3
7,105.64,3,141.14,L,W,4
5,94.8,6,90.35,W,L,4
4,122.8,10,99.64,W,L,4
2,114.9,8,116.37,L,W,4
12,110.72,1,124.7,L,W,4
10,96.62,6,120.26,L,W,5
8,118.95,3,117.82,W,L,5
1,108.54,7,121.4,L,W,5
2,142.36,5,125.9,W,L,5
12,103.72,4,97.83,W,L,5
2,100.9,1,107.02,L,W,6
5,112.82,12,91.73,W,L,6
3,103.4,4,110.19,L,W,6
6,100.38,7,102.15,L,W,6
8,115.24,10,110.94,W,L,6
1,163.68,5,105.3,W,L,7
12,111.03,3,60.1,W,L,7
4,125.26,6,89.42,W,L,7
7,98.12,8,115.52,L,W,7
10,131.56,2,124.36,W,L,7
3,88.54,1,183.82,L,W,8
6,105.76,12,83.56,W,L,8
8,95.02,4,95.94,L,W,8
2,96.12,7,106.44,L,W,8
5,59.1,10,102.76,L,W,8
1,152.14,6,132.09,W,L,9
3,84.28,8,88.11,L,W,9
10,108.76,12,104.1,W,L,9
5,105.97,2,97.64,W,L,9
7,103.3,4,99.8,W,L,9
12,90.86,8,117.56,L,W,10
6,119.77,2,86.32,W,L,10
4,70.72,1,86.78,L,W,10
3,75.7,5,85.35,L,W,10
7,130.5,10,88.94,W,L,10
4,109.48,2,131.56,L,W,11
5,116.86,8,109.64,W,L,11
12,119.06,7,94.34,W,L,11
3,108.52,6,79.59,W,L,11
1,145.16,10,96.04,W,L,11
7,175.34,5,114.3,W,L,12
2,124.62,3,104.18,W,L,12
10,105.9,4,78.9,W,L,12
8,128.58,6,151.84,L,W,12
1,150.34,12,76.98,W,L,12
10,107.58,3,123.22,L,W,13
6,95.9,5,121.16,L,W,13
7,116.5,1,170.96,L,W,13
8,123.08,2,71.84,W,L,13
4,91.22,12,111.4,L,W,13
8,120.22,1,133.72,L,W,14
2,93.86,12,99.32,L,W,14
5,105.84,4,89.24,W,L,14
3,79.02,7,164.1,L,W,14
6,128.78,10,92.24,W,L,14
5,111.94,1,130.36,L,W,15
8,131.52,7,97.12,W,L,15
3,88.26,6,85.72,W,L,15
4,96.24,10,102.6,L,W,15
2,93.72,12,106.66,L,W,15
8,155.62,1,125.68,W,L,16
5,112.38,7,123.84,L,W,16
10,124.92,3,132.22,L,W,16
12,131.65,6,83.24,W,L,16
2,91.16,4,80.5,W,L,16
