fullname,division,W,L,points_scored,points_allowed,points_rank,playoff_rank
The Sophomores TSoph,Hot Dish,10,4,1624.42,1535.88,3,1
Athens Team Sasquatch,Grits,9,5,1646.37,1535.27,1,2
Pigskin on  the Gridiron,Grits,9,5,1629.71,1452.84,2,3
Captain Clairvoyant,Grits,9,5,1599.46,1443.17,4,4
Georgia Peanuts,Hot Dish,9,5,1564.52,1406.54,5,5
Jumpin' Jaheims,Grits,8,6,1534.01,1555.13,8,6
Middle Earth Hangry Hobbits,Hot Dish,6,8,1559.98,1568.07,6,7
Southern Sharks,Hot Dish,5,9,1554.1399999999999,1609.35,7,8
The G.O.A.T.,Grits,3,11,1284.56,1568.65,9,9
KC Gophers,Hot Dish,2,12,1233.18,1555.45,10,10
