RK,TIERS,PLAYER NAME,TEAM,POS,BYE WEEK,SOS SEASON,ECR VS. ADP
1,1,Justin Jefferson,MIN,WR1,13,3 out of 5 stars,0
2,1,Christian McCaffrey,SF,RB1,9,4 out of 5 stars,0
3,1,Ja'Marr Chase,CIN,WR2,7,4 out of 5 stars,0
4,1,Austin Ekeler,LAC,RB2,5,3 out of 5 stars,0
5,1,Tyreek Hill,MIA,WR3,10,3 out of 5 stars,1
6,1,Travis Kelce,KC,TE1,10,4 out of 5 stars,-1
7,2,Bijan Robinson,ATL,RB3,11,4 out of 5 stars,1
8,2,Nick Chubb,CLE,RB4,5,3 out of 5 stars,2
9,2,Saquon Barkley,NYG,RB5,13,2 out of 5 stars,0
10,2,Stefon Diggs,BUF,WR4,13,2 out of 5 stars,1
11,2,Tony Pollard,DAL,RB6,7,3 out of 5 stars,5
12,2,CeeDee Lamb,DAL,WR5,7,2 out of 5 stars,0
13,2,Cooper Kupp,LAR,WR6,10,3 out of 5 stars,-6
14,2,A.J. Brown,PHI,WR7,10,3 out of 5 stars,-1
15,2,Amon-Ra St. Brown,DET,WR8,9,3 out of 5 stars,5
16,2,Derrick Henry,TEN,RB7,7,4 out of 5 stars,-1
17,2,Davante Adams,LV,WR9,13,2 out of 5 stars,1
18,3,Josh Jacobs,LV,RB8,13,3 out of 5 stars,-1
19,3,Garrett Wilson,NYJ,WR10,7,3 out of 5 stars,0
20,3,Jaylen Waddle,MIA,WR11,10,3 out of 5 stars,3
21,3,Chris Olave,NO,WR12,11,4 out of 5 stars,4
22,3,Joe Mixon,CIN,RB9,7,3 out of 5 stars,9
23,3,Rhamondre Stevenson,NE,RB10,11,2 out of 5 stars,5
24,3,Patrick Mahomes II,KC,QB1,10,3 out of 5 stars,-10
25,3,DeVonta Smith,PHI,WR13,10,3 out of 5 stars,2
26,3,Tee Higgins,CIN,WR14,7,4 out of 5 stars,4
27,3,Jalen Hurts,PHI,QB2,10,3 out of 5 stars,-5
28,4,Josh Allen,BUF,QB3,13,3 out of 5 stars,-7
29,4,Mark Andrews,BAL,TE2,13,4 out of 5 stars,0
30,4,Najee Harris,PIT,RB11,6,3 out of 5 stars,-6
31,4,Jahmyr Gibbs,DET,RB12,9,5 out of 5 stars,1
32,4,Travis Etienne Jr.,JAC,RB13,9,2 out of 5 stars,-6
33,4,DK Metcalf,SEA,WR15,5,3 out of 5 stars,3
34,4,Calvin Ridley,JAC,WR16,9,4 out of 5 stars,-1
35,4,Aaron Jones,GB,RB14,6,4 out of 5 stars,3
36,4,Keenan Allen,LAC,WR17,5,3 out of 5 stars,8
37,4,Amari Cooper,CLE,WR18,5,3 out of 5 stars,4
38,4,Lamar Jackson,BAL,QB4,13,3 out of 5 stars,-3
39,4,Deebo Samuel,SF,WR19,9,3 out of 5 stars,0
40,5,Kenneth Walker III,SEA,RB15,5,2 out of 5 stars,0
41,5,DJ Moore,CHI,WR20,13,3 out of 5 stars,10
42,5,Dameon Pierce,HOU,RB16,7,3 out of 5 stars,0
43,5,Breece Hall,NYJ,RB17,7,3 out of 5 stars,0
44,5,Joe Burrow,CIN,QB5,7,3 out of 5 stars,-7
45,5,Miles Sanders,CAR,RB18,7,4 out of 5 stars,5
46,5,Christian Watson,GB,WR21,6,3 out of 5 stars,16
47,5,Alexander Mattison,MIN,RB19,13,5 out of 5 stars,5
48,5,Justin Fields,CHI,QB6,13,5 out of 5 stars,-1
49,5,DeAndre Hopkins,TEN,WR22,7,3 out of 5 stars,4
50,5,J.K. Dobbins,BAL,RB20,13,3 out of 5 stars,-2
51,5,Drake London,ATL,WR23,11,4 out of 5 stars,8
52,5,T.J. Hockenson,MIN,TE3,13,3 out of 5 stars,-6
53,5,Justin Herbert,LAC,QB7,5,3 out of 5 stars,-8
54,5,Cam Akers,LAR,RB21,10,3 out of 5 stars,3
55,5,Brandon Aiyuk,SF,WR24,9,3 out of 5 stars,8
56,5,Chris Godwin,TB,WR25,5,4 out of 5 stars,11
57,5,Terry McLaurin,WAS,WR26,14,3 out of 5 stars,-1
58,5,Tyler Lockett,SEA,WR27,5,3 out of 5 stars,6
59,5,Darren Waller,NYG,TE4,13,1 out of 5 stars,-4
60,5,Mike Williams,LAC,WR28,5,3 out of 5 stars,9
61,5,James Conner,ARI,RB22,14,3 out of 5 stars,-3
62,5,Diontae Johnson,PIT,WR29,6,3 out of 5 stars,15
