add_date,name,points,slot,bench,rowid,abbrev,teamId,location,nickname,fullname,division
2020-09-08,Dalvin Cook,16.1,2,0,1,PEA,1,Georgia,Peanuts,Georgia Peanuts,Hot Dish
2020-09-08,Davante Adams,5.1,4,0,1,PEA,1,Georgia,Peanuts,Georgia Peanuts,Hot Dish
2020-09-08,Allen Robinson II,4.800000000000001,4,0,1,PEA,1,Georgia,Peanuts,Georgia Peanuts,Hot Dish
2020-09-08,James Conner,19.1,2,0,1,PEA,1,Georgia,Peanuts,Georgia Peanuts,Hot Dish
2020-09-08,Le'Veon Bell,0,21,1,1,PEA,1,Georgia,Peanuts,Georgia Peanuts,Hot Dish
2020-09-08,Darren Waller,22.5,6,0,1,PEA,1,Georgia,Peanuts,Georgia Peanuts,Hot Dish
2020-09-08,DJ Chark Jr.,10.4,20,1,1,PEA,1,Georgia,Peanuts,Georgia Peanuts,Hot Dish
2020-09-08,Matt Ryan,28.520000000000003,20,1,1,PEA,1,Georgia,Peanuts,Georgia Peanuts,Hot Dish
2020-09-08,Bills D/ST,-1,16,0,1,PEA,1,Georgia,Peanuts,Georgia Peanuts,Hot Dish
2020-09-08,Marvin Jones Jr.,10.3,20,1,1,PEA,1,Georgia,Peanuts,Georgia Peanuts,Hot Dish
2020-09-08,Zack Moss,3.7,20,1,1,PEA,1,Georgia,Peanuts,Georgia Peanuts,Hot Dish
2020-09-08,Greg Zuerlein,11,17,0,1,PEA,1,Georgia,Peanuts,Georgia Peanuts,Hot Dish
2020-09-16,Malcolm Brown,4.7,20,1,1,PEA,1,Georgia,Peanuts,Georgia Peanuts,Hot Dish
2020-09-16,Gardner Minshew II,32.66,0,0,1,PEA,1,Georgia,Peanuts,Georgia Peanuts,Hot Dish
2020-09-16,James Robinson,47.400000000000006,23,1,1,PEA,1,Georgia,Peanuts,Georgia Peanuts,Hot Dish
2020-09-18,Dallas Goedert,5,20,1,1,PEA,1,Georgia,Peanuts,Georgia Peanuts,Hot Dish
2020-09-23,Mike Davis,11.5,20,1,1,PEA,1,Georgia,Peanuts,Georgia Peanuts,Hot Dish
2020-09-08,Michael Thomas,0,20,1,2,HH,2,Middle Earth,Hangry Hobbits,Middle Earth Hangry Hobbits,Hot Dish
2020-09-08,Austin Ekeler,16.8,2,0,2,HH,2,Middle Earth,Hangry Hobbits,Middle Earth Hangry Hobbits,Hot Dish
2020-09-08,George Kittle,0,20,1,2,HH,2,Middle Earth,Hangry Hobbits,Middle Earth Hangry Hobbits,Hot Dish
2020-09-08,DJ Moore,16,4,0,2,HH,2,Middle Earth,Hangry Hobbits,Middle Earth Hangry Hobbits,Hot Dish
2020-09-08,Kareem Hunt,23.1,2,0,2,HH,2,Middle Earth,Hangry Hobbits,Middle Earth Hangry Hobbits,Hot Dish
2020-09-08,Deshaun Watson,14.7,20,1,2,HH,2,Middle Earth,Hangry Hobbits,Middle Earth Hangry Hobbits,Hot Dish
