add_date,name,points,slot,bench,teamId1,abbrev,teamId,location,nickname,owners,fullname,division,stay
2021-11-24,Cam Newton,6.18,20,1,1,PEA,1,Georgia,Peanuts,NA,Georgia Peanuts,Hot Dish,6
2021-11-25,Lions D/ST,3,16,0,2,HH,2,Middle Earth,Hangry Hobbits,NA,Middle Earth Hangry Hobbits,Hot Dish,5
2021-11-24,Bears D/ST,6,16,0,4,SHAR,4,Southern,Sharks,NA,Southern Sharks,Hot Dish,6
2021-11-27,Ty Johnson,4.2,23,1,4,SHAR,4,Southern,Sharks,NA,Southern Sharks,Hot Dish,3
2021-11-24,Kadarius Toney,0,20,1,7,CapC,7,Captain,Clairvoyant,NA,Captain Clairvoyant,Grits,6
2021-11-25,Tyler Bass,7,17,0,7,CapC,7,Captain,Clairvoyant,NA,Captain Clairvoyant,Grits,5
2021-11-24,Odell Beckham Jr.,17.6,4,0,8,SASQ,8,Athens,Team Sasquatch,NA,Athens Team Sasquatch,Grits,6
2021-11-24,David Johnson,6.5,2,0,8,SASQ,8,Athens,Team Sasquatch,NA,Athens Team Sasquatch,Grits,6
2021-11-24,Cedrick Wilson,14.7,20,1,8,SASQ,8,Athens,Team Sasquatch,NA,Athens Team Sasquatch,Grits,6
2021-11-24,Texans D/ST,8,20,1,8,SASQ,8,Athens,Team Sasquatch,NA,Athens Team Sasquatch,Grits,6
2021-11-25,Cole Beasley,7.1000000000000005,20,1,8,SASQ,8,Athens,Team Sasquatch,NA,Athens Team Sasquatch,Grits,5
2021-11-25,Tony Jones Jr.,2.7,20,1,8,SASQ,8,Athens,Team Sasquatch,NA,Athens Team Sasquatch,Grits,5
2021-11-24,Dontrell Hilliard,19.900000000000002,20,1,9,PG,10,Pigskin on,the Gridiron,NA,Pigskin on  the Gridiron,Grits,6
