awayteam,awaypoints,hometeam,homepoints,away_result,home_result,week
1,119.4,8,138.55,L,W,1
2,81.02,6,100.86,L,W,1
12,90.88,10,117.16,L,W,1
5,139.2,3,114.24,W,L,1
4,86.94,7,129.76,L,W,1
12,109.1,2,133.8,L,W,2
8,115.26,5,114.44,W,L,2
1,102.02,4,129.8,L,W,2
6,107.64,3,171.28,L,W,2
10,97.08,7,137.6,L,W,2
4,130.1,5,132.15,L,W,3
3,127.8,2,107.54,W,L,3
7,150.32,12,121.74,W,L,3
6,111.08,8,97.48,W,L,3
10,93.9,1,125.7,L,W,3
7,105.64,3,141.14,L,W,4
5,94.8,6,90.35,W,L,4
4,122.8,10,99.64,W,L,4
2,114.9,8,116.37,L,W,4
12,110.72,1,124.7,L,W,4
10,96.62,6,120.26,L,W,5
8,118.95,3,117.82,W,L,5
1,108.54,7,121.4,L,W,5
2,142.36,5,125.9,W,L,5
12,103.72,4,97.83,W,L,5
2,100.9,1,107.02,L,W,6
5,112.82,12,91.73,W,L,6
3,103.4,4,110.19,L,W,6
6,100.18,7,102.15,L,W,6
8,115.24,10,110.94,W,L,6
