fullname,division,W,L,points_scored,points_allowed,points_rank,playoff_rank
The Sophomores TSoph,Hot Dish,8,2,1185.44,1049.36,2,1
Captain Clairvoyant,Grits,7,3,1139.2,1037.6299999999999,4,2
Athens Team Sasquatch,Grits,6,4,1205.79,1167.67,1,3
Pigskin on  the Gridiron,Grits,6,4,1156.29,1113.52,3,4
Middle Earth Hangry Hobbits,Hot Dish,5,5,1111.1,1021.56,6,5
Georgia Peanuts,Hot Dish,5,5,1068.29,1089.8,7,6
Southern Sharks,Hot Dish,4,6,1114.56,1112.14,5,7
Jumpin' Jaheims,Grits,4,6,1031.53,1156.46,8,8
The G.O.A.T.,Grits,3,7,934.36,1011.97,9,9
KC Gophers,Hot Dish,2,8,929.5,1115.95,10,10
